cpt_hcpcs_code,long_desc,short_desc,betos_code,betos_code_desc
G9557,"Final reports for ct, cta, mri or mra studies of the chest or neck or ultrasound of the neck without an incidentally found thyroid nodule < 1.0 cm noted or no nodule found",Ct/cta/mri/a no thyr <1.0cm,Z2, Undefined codes
G9558,Patient treated with a beta-lactam antibiotic as definitive therapy,Tx beta-lactam abx therapy,Z2, Undefined codes
G9559,"Documentation of medical reason(s) for not prescribing a beta-lactam antibiotic (e.g., allergy, intolerance to beta-lactam antibiotics)",Doc med reas no abx therapy,Z2, Undefined codes
G9560,"Patient not treated with a beta-lactam antibiotic as definitive therapy, reason not given","No beta-lactam abx ther, rng",Z2, Undefined codes
G9561,Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,Z2, Undefined codes
G9562,Patients who had a follow-up evaluation conducted at least every three months during opioid therapy,Foll-up eval q3mo opiod tx,Z2, Undefined codes
G9563,Patients who did not have a follow-up evaluation conducted at least every three months during opioid therapy,No f/u eval q3mo opiod tx,Z2, Undefined codes
G9572,Index date phq-score greater than 9 documented during the twelve month denominator identification period,Phq-scr >9 doc in 12m time,Z2, Undefined codes
G9573,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five,Adl pt md or dys rem 6 mon,Z2, Undefined codes
G9574,Adult patients 18 years of age or older with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) phq-9 or phq-9m score of less than five; either phq-9 or phq-9m score was not assessed or is greater than or equal to five,Adl pt md dys no rem 6 mon,Z2, Undefined codes
G9577,Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,Z2, Undefined codes
G9578,Documentation of signed opioid treatment agreement at least once during opioid therapy,Doc opioid tx 1x during ther,Z2, Undefined codes
G9579,No documentation of signed an opioid treatment agreement at least once during opioid therapy,No doc opioid tx 1x at ther,Z2, Undefined codes
G9580,Door to puncture time of less than 2 hours,Door to punc time <2hrs,Z2, Undefined codes
G9581,"Door to puncture time of greater than 2 hours for reasons documented by clinician (e.g., patients who are transferred from one institution to another with a known diagnosis of cva for endovascular stroke treatment; hospitalized patients with newly diagnosed cva considered for endovascular stroke treatment)","Md doc, door to punc tm >2hr",Z2, Undefined codes
G9582,"Door to puncture time of greater than 2 hours, no reason given","Door to punc time >2hr, nrg",Z2, Undefined codes
G9583,Patients prescribed opiates for longer than six weeks,Presc opiates >6 wks,Z2, Undefined codes
G9584,"Patient evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., opioid risk tool, soapp-r) or patient interviewed at least once during opioid therapy",Eval opioid use instr/pt int,Z2, Undefined codes
G9585,"Patient not evaluated for risk of misuse of opiates by using a brief validated instrument (e.g., opioid risk tool, soapp-r) or patient not interviewed at least once during opioid therapy",No eval opi use instr/intv,Z2, Undefined codes
G9593,Pediatric patient with minor blunt head trauma classified as low risk according to the pecarn prediction rules,Low pecarn ped head trauma,Z2, Undefined codes
G9594,Patient presented with a minor blunt head trauma and had a head ct ordered for trauma by an emergency care provider,Pt mbht hd ct ord ec prov,Z2, Undefined codes
G9595,"Patient has documentation of ventricular shunt, brain tumor, or coagulopathy",Doc shnt/tum/coag,Z2, Undefined codes
G9596,Pediatric patient had a head ct for trauma ordered by someone other than an emergency care provider or was ordered for a reason other than trauma,Ped pt hd ct ord,Z2, Undefined codes
G9597,Pediatric patient with minor blunt head trauma not classified as low risk according to the pecarn prediction rules,No low pecarn ped head traum,Z2, Undefined codes
G9598,Aortic aneurysm 5.5 - 5.9 cm maximum diameter on centerline formatted ct or minor diameter on axial formatted ct,Aor ane 5.5-5.9 cm max diam,Z2, Undefined codes
G9599,Aortic aneurysm 6.0 cm or greater maximum diameter on centerline formatted ct or minor diameter on axial formatted ct,Aor ane >=6.0 cm max diam,Z2, Undefined codes
G9600,Symptomatic aaas that required urgent/emergent (non-elective) repair,Symp aaa urgent repair,Z2, Undefined codes
G9601,Patient discharge to home no later than post-operative day #7,Pt dchg home post op day 7,Z2, Undefined codes
G9602,Patient not discharged to home by post-operative day #7,Pt no dchg home postop day 7,Z2, Undefined codes
G9603,Patient survey score improved from baseline following treatment,Pt surv improv bsline tx,Z2, Undefined codes
G9604,Patient survey results not available,Pt surv results not avail,Z2, Undefined codes
G9605,Patient survey score did not improve from baseline following treatment,Surv score no improv w/tx,Z2, Undefined codes
G9606,Intraoperative cystoscopy performed to evaluate for lower tract injury,Intraop cyst eval trac inj,Z2, Undefined codes
G9607,"Documented medical reasons for not performing intraoperative cystoscopy (e.g., urethral pathology precluding cystoscopy, any patient who has a congenital or acquired absence of the urethra) or in the case of patient death",Doc med rsn not perf cystosc,Z2, Undefined codes
G9608,Intraoperative cystoscopy not performed to evaluate for lower tract injury,Intraop cyst eval not done,Z2, Undefined codes
G9609,Documentation of an order for anti-platelet agents,Doc order anti-plat,Z2, Undefined codes
G9610,Documentation of medical reason(s) in the patient's record for not ordering anti-platelet agents,Doc md rsn no antipla,Z2, Undefined codes
G9611,"Order for anti-platelet agents was not documented in the patient's record, reason not given",No doc order anti-plat rng,Z2, Undefined codes
G9612,Photodocumentation of two or more cecal landmarks to establish a complete examination,Phodoc 2 mr cec lndmk,Z2, Undefined codes
G9613,"Documentation of post-surgical anatomy (e.g., right hemicolectomy, ileocecal resection, etc.)",Doc post surg anatomy,Z2, Undefined codes
G9614,"Photodocumentation of less than two cecal landmarks (i.e., no cecal landmarks or only one cecal landmark) to establish a complete examination",Photodoc < 2 cec lndmk,Z2, Undefined codes
G9615,Preoperative assessment documented,Pre-op asst doc,Z2, Undefined codes
G9616,"Documentation of reason(s) for not documenting a preoperative assessment (e.g., patient with a gynecologic or other pelvic malignancy noted at the time of surgery)",Doc rsn no preop assmt,Z2, Undefined codes
G9617,"Preoperative assessment not documented, reason not given","Pre-op asst not doc, rng",Z2, Undefined codes
G9618,Documentation of screening for uterine malignancy or those that had an ultrasound and/or endometrial sampling of any kind,Doc scr uter mal or us/samp,Z2, Undefined codes
G9619,"Documentation of reason(s) for not screening for uterine malignancy (e.g., prior hysterectomy)",Doc rsn no scr uter malig,Z2, Undefined codes
G9620,"Patient not screened for uterine malignancy, or those that have not had an ultrasound and/or endometrial sampling of any kind, reason not given",No scr utr malig/us/samp rng,Z2, Undefined codes
